Date,Market Cap
1999-07-01 00:00:00-04:00,851949404.6962509
1999-07-02 00:00:00-04:00,913657051.3598328
1999-07-06 00:00:00-04:00,916590222.029396
1999-07-07 00:00:00-04:00,898969480.3248444
1999-07-08 00:00:00-04:00,919523117.7915268
1999-07-09 00:00:00-04:00,997385699.7292709
1999-07-12 00:00:00-04:00,1042916051.9808426
1999-07-13 00:00:00-04:00,1045849222.6504059
1999-07-14 00:00:00-04:00,1004718397.313652
1999-07-15 00:00:00-04:00,1010607006.1548157
1999-07-16 00:00:00-04:00,1031161285.0721741
1999-07-19 00:00:00-04:00,1004718397.313652
1999-07-20 00:00:00-04:00,987096922.5226135
1999-07-21 00:00:00-04:00,957721505.5452042
1999-07-22 00:00:00-04:00,913657051.3598328
1999-07-23 00:00:00-04:00,913657051.3598328
1999-07-26 00:00:00-04:00,916590222.029396
1999-07-27 00:00:00-04:00,919523117.7915268
1999-07-28 00:00:00-04:00,934211330.2771912
1999-07-29 00:00:00-04:00,943033018.1521072
1999-07-30 00:00:00-04:00,945966372.0932922
1999-08-02 00:00:00-04:00,954787968.3323975
1999-08-03 00:00:00-04:00,931278434.5150604
1999-08-04 00:00:00-04:00,931278434.5150604
1999-08-05 00:00:00-04:00,945966372.0932922
1999-08-06 00:00:00-04:00,945966372.0932922
1999-08-09 00:00:00-04:00,945966372.0932922
1999-08-10 00:00:00-04:00,963587480.3410873
1999-08-11 00:00:00-04:00,1028227839.4951782
1999-08-12 00:00:00-04:00,1078158543.3838654
1999-08-13 00:00:00-04:00,1066426043.9772339
1999-08-16 00:00:00-04:00,1025294760.4614258
1999-08-17 00:00:00-04:00,1028227839.4951782
1999-08-18 00:00:00-04:00,1051738014.7631912
1999-08-19 00:00:00-04:00,1274990982.1927185
1999-08-20 00:00:00-04:00,1263258574.421898
1999-08-23 00:00:00-04:00,1186863265.0875168
1999-08-24 00:00:00-04:00,1180996740.4767685
1999-08-25 00:00:00-04:00,1175108039.999794
1999-08-26 00:00:00-04:00,1157487389.9310532
1999-08-27 00:00:00-04:00,1222127840.720955
1999-08-30 00:00:00-04:00,1217705588.1250458
1999-08-31 00:00:00-04:00,1322011057.821312
1999-09-01 00:00:00-04:00,1260303227.8861084
1999-09-02 00:00:00-04:00,1245615198.6720657
1999-09-03 00:00:00-04:00,1254436978.1827927
1999-09-07 00:00:00-04:00,1248570820.1152878
1999-09-08 00:00:00-04:00,1245615198.6720657
1999-09-09 00:00:00-04:00,1227993907.152649
1999-09-10 00:00:00-04:00,1245615198.6720657
1999-09-13 00:00:00-04:00,1204484098.4278793
1999-09-14 00:00:00-04:00,1169241881.9322891
1999-09-15 00:00:00-04:00,1178063844.7146378
1999-09-16 00:00:00-04:00,1148665243.8770828
1999-09-17 00:00:00-04:00,1145732073.2075195
1999-09-20 00:00:00-04:00,1104601156.2349548
1999-09-21 00:00:00-04:00,998852330.881958
1999-09-22 00:00:00-04:00,1022362047.9709167
1999-09-23 00:00:00-04:00,937144409.3109436
1999-09-24 00:00:00-04:00,851949404.6962509
1999-09-27 00:00:00-04:00,904835363.4849167
1999-09-28 00:00:00-04:00,987096922.5226135
1999-09-29 00:00:00-04:00,907768534.15448
1999-09-30 00:00:00-04:00,904835363.4849167
1999-10-01 00:00:00-04:00,898969480.3248444
1999-10-04 00:00:00-04:00,916590222.029396
1999-10-05 00:00:00-04:00,1004718397.313652
1999-10-06 00:00:00-04:00,1125178160.8334045
1999-10-07 00:00:00-04:00,1051738014.7631912
1999-10-08 00:00:00-04:00,1104601156.2349548
1999-10-11 00:00:00-04:00,1075225281.0784912
1999-10-12 00:00:00-04:00,1060537160.2286377
1999-10-13 00:00:00-04:00,1031161285.0721741
1999-10-14 00:00:00-04:00,1010607006.1548157
